ID,Date,IUCR,CrimeType,Location Description,Arrest,Domestic,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,OnlyDate,Time,time_hour,hourofday,sin_time,cos_time,XAxis,YAxis
11859143,10/12/2019 11:58:00 PM,1310,CRIMINAL DAMAGE,APARTMENT,0,0,6.0,67.0,14,2019,10/19/2019 04:04:21 PM,41.76779521,-87.657826025,22257.0,65.0,21.0,32.0,23.0,17.0,216.0,2019-10-12,11:58:00 PM,23:58:00,23,-2.4492935982947064e-16,1.0,1168528.0,1858699.0
11859039,10/12/2019 11:57:00 PM,2092,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),1,0,28.0,26.0,18,2019,10/19/2019 04:04:21 PM,41.880748488,-87.723881711,21572.0,27.0,736.0,23.0,30.0,16.0,82.0,2019-10-12,11:57:00 PM,23:57:00,23,-2.4492935982947064e-16,1.0,1150216.0,1899724.0
11859098,10/12/2019 11:55:00 PM,454,BATTERY,STREET,0,0,24.0,29.0,08B,2019,10/19/2019 04:04:21 PM,41.856209835,-87.71269510799999,21569.0,30.0,800.0,14.0,57.0,21.0,153.0,2019-10-12,11:55:00 PM,23:55:00,23,-2.4492935982947064e-16,1.0,1153327.0,1890804.0
11859480,10/12/2019 11:49:00 PM,820,THEFT,RESIDENTIAL YARD (FRONT/BACK),0,0,32.0,22.0,06,2019,10/19/2019 04:04:21 PM,41.916925787,-87.680927881,22535.0,23.0,373.0,40.0,1.0,7.0,192.0,2019-10-12,11:49:00 PM,23:49:00,23,-2.4492935982947064e-16,1.0,1161813.0,1912993.0
11859057,10/12/2019 11:47:00 PM,1320,CRIMINAL DAMAGE,GAS STATION,1,0,8.0,48.0,14,2019,10/19/2019 04:04:21 PM,41.722546838,-87.58514070700001,21202.0,48.0,252.0,35.0,25.0,19.0,246.0,2019-10-12,11:47:00 PM,23:47:00,23,-2.4492935982947064e-16,1.0,1188500.0,1842375.0
11859053,10/12/2019 11:45:00 PM,860,THEFT,SMALL RETAIL STORE,0,0,15.0,58.0,06,2019,10/19/2019 04:04:21 PM,41.808028819,-87.684414463,14924.0,55.0,85.0,3.0,56.0,23.0,115.0,2019-10-12,11:45:00 PM,23:45:00,23,-2.4492935982947064e-16,1.0,1161164.0,1873304.0
11859015,10/12/2019 11:44:00 PM,1822,NARCOTICS,STREET,1,0,27.0,23.0,18,2019,10/19/2019 04:04:21 PM,41.894430531,-87.721158575,21572.0,24.0,584.0,46.0,30.0,16.0,66.0,2019-10-12,11:44:00 PM,23:44:00,23,-2.4492935982947064e-16,1.0,1150922.0,1904715.0
11859067,10/12/2019 11:43:00 PM,1360,CRIMINAL TRESPASS,STREET,1,0,14.0,63.0,26,2019,10/19/2019 04:04:21 PM,41.797437564,-87.68812267700001,22248.0,61.0,778.0,8.0,56.0,23.0,120.0,2019-10-12,11:43:00 PM,23:43:00,23,-2.4492935982947064e-16,1.0,1160182.0,1869437.0
11859028,10/12/2019 11:43:00 PM,502,OTHER OFFENSE,STREET,0,0,16.0,68.0,26,2019,10/19/2019 04:04:21 PM,41.778761269,-87.65083663700001,21559.0,66.0,436.0,2.0,11.0,17.0,203.0,2019-10-12,11:43:00 PM,23:43:00,23,-2.4492935982947064e-16,1.0,1170403.0,1862710.0
11859046,10/12/2019 11:40:00 PM,460,BATTERY,OTHER,1,0,42.0,8.0,08B,2019,10/19/2019 04:04:21 PM,41.890389293,-87.619610833,21182.0,38.0,159.0,36.0,6.0,14.0,74.0,2019-10-12,11:40:00 PM,23:40:00,23,-2.4492935982947064e-16,1.0,1178582.0,1903456.0
11863290,10/12/2019 11:40:00 PM,560,ASSAULT,APARTMENT,0,0,28.0,28.0,08A,2019,10/19/2019 04:04:21 PM,41.871149439,-87.687293806,21184.0,29.0,756.0,23.0,28.0,16.0,146.0,2019-10-12,11:40:00 PM,23:40:00,23,-2.4492935982947064e-16,1.0,1160206.0,1896299.0
11859150,10/12/2019 11:38:00 PM,820,THEFT,RESIDENCE,0,1,8.0,69.0,06,2019,10/19/2019 04:04:21 PM,41.752580874,-87.597945005,21546.0,67.0,497.0,35.0,61.0,20.0,227.0,2019-10-12,11:38:00 PM,23:38:00,23,-2.4492935982947064e-16,1.0,1184911.0,1853289.0
11859485,10/12/2019 11:30:00 PM,910,MOTOR VEHICLE THEFT,STREET,0,0,1.0,24.0,07,2019,10/19/2019 04:04:21 PM,41.909347503,-87.678742012,21560.0,25.0,481.0,41.0,4.0,7.0,200.0,2019-10-12,11:30:00 PM,23:30:00,23,-2.4492935982947064e-16,1.0,1162429.0,1910236.0
11859027,10/12/2019 11:18:00 PM,1320,CRIMINAL DAMAGE,STREET,0,0,16.0,68.0,14,2019,10/19/2019 04:04:21 PM,41.79162912,-87.653593442,21559.0,66.0,409.0,2.0,11.0,17.0,261.0,2019-10-12,11:18:00 PM,23:18:00,23,-2.4492935982947064e-16,1.0,1169614.0,1867393.0
11859042,10/12/2019 11:18:00 PM,1365,CRIMINAL TRESPASS,RESIDENCE,0,0,27.0,24.0,26,2019,10/19/2019 04:04:21 PM,41.902961643000005,-87.66586585200001,22620.0,25.0,484.0,46.0,49.0,15.0,60.0,2019-10-12,11:18:00 PM,23:18:00,23,-2.4492935982947064e-16,1.0,1165952.0,1907936.0
11859084,10/12/2019 11:15:00 PM,1310,CRIMINAL DAMAGE,APARTMENT,0,1,34.0,49.0,14,2019,10/19/2019 04:04:21 PM,41.688934648,-87.62458058,21861.0,45.0,660.0,22.0,19.0,10.0,267.0,2019-10-12,11:15:00 PM,23:15:00,23,-2.4492935982947064e-16,1.0,1177834.0,1830036.0
11859074,10/12/2019 11:08:00 PM,1480,CONCEALED CARRY LICENSE VIOLATION,STREET,0,0,13.0,65.0,15,2019,10/19/2019 04:04:21 PM,41.773143542,-87.726620773,21867.0,63.0,6.0,15.0,58.0,13.0,209.0,2019-10-12,11:08:00 PM,23:08:00,23,-2.4492935982947064e-16,1.0,1149747.0,1860508.0
11859045,10/12/2019 11:05:00 PM,486,BATTERY,APARTMENT,1,1,35.0,21.0,08B,2019,10/19/2019 04:04:21 PM,41.933681011,-87.71496191600002,21538.0,22.0,55.0,12.0,39.0,7.0,168.0,2019-10-12,11:05:00 PM,23:05:00,23,-2.4492935982947064e-16,1.0,1152506.0,1919030.0
11859734,10/12/2019 11:00:00 PM,51,ASSAULT,OTHER,0,0,49.0,1.0,04A,2019,10/19/2019 04:04:21 PM,42.022429786,-87.666660332,21853.0,10.0,340.0,5.0,9.0,11.0,32.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1165397.0,1951469.0
11859025,10/12/2019 11:00:00 PM,620,BURGLARY,APARTMENT,0,0,28.0,25.0,05,2019,10/19/2019 04:04:21 PM,41.87915106,-87.753508234,22216.0,26.0,184.0,23.0,32.0,25.0,137.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1142152.0,1899086.0
11860595,10/12/2019 11:00:00 PM,1310,CRIMINAL DAMAGE,OTHER,0,0,2.0,8.0,14,2019,10/19/2019 04:04:21 PM,41.90516817,-87.634526065,14926.0,37.0,290.0,11.0,54.0,14.0,198.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1174477.0,1908808.0
11859065,10/12/2019 11:00:00 PM,1320,CRIMINAL DAMAGE,STREET,0,0,10.0,55.0,14,2019,10/19/2019 04:04:21 PM,41.658871865,-87.55928838700001,22250.0,52.0,586.0,47.0,26.0,19.0,255.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1195766.0,1819235.0
11859096,10/12/2019 11:00:00 PM,31,ROBBERY,SIDEWALK,0,0,24.0,29.0,03,2019,10/19/2019 04:04:21 PM,41.865154549,-87.71393025299999,21569.0,30.0,772.0,14.0,57.0,21.0,153.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1152967.0,1894061.0
11859763,10/12/2019 11:00:00 PM,810,THEFT,RESIDENCE-GARAGE,0,0,44.0,6.0,06,2019,10/19/2019 04:04:21 PM,41.944350475,-87.662644412,4449.0,57.0,729.0,25.0,22.0,5.0,28.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1166711.0,1923025.0
11859262,10/12/2019 11:00:00 PM,810,THEFT,STREET,0,0,36.0,23.0,06,2019,10/19/2019 04:04:21 PM,41.911590736,-87.73531182,22615.0,24.0,285.0,44.0,2.0,6.0,194.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1147025.0,1910941.0
11860398,10/12/2019 11:00:00 PM,910,MOTOR VEHICLE THEFT,STREET,0,0,5.0,42.0,07,2019,10/19/2019 04:04:21 PM,41.774344746,-87.60336048399998,22260.0,9.0,347.0,33.0,60.0,18.0,206.0,2019-10-12,11:00:00 PM,23:00:00,23,-2.4492935982947064e-16,1.0,1183366.0,1861207.0
11859041,10/12/2019 10:53:00 PM,1320,CRIMINAL DAMAGE,STREET,0,1,17.0,71.0,14,2019,10/19/2019 04:04:21 PM,41.755612548,-87.646596004,21554.0,70.0,572.0,31.0,59.0,20.0,229.0,2019-10-12,10:53:00 PM,22:53:00,22,-0.2697967711570252,0.9629172873477991,1171627.0,1854284.0
11859013,10/12/2019 10:50:00 PM,460,BATTERY,SIDEWALK,1,0,42.0,8.0,08B,2019,10/19/2019 04:04:21 PM,41.889751946,-87.631072891,4446.0,37.0,670.0,36.0,55.0,14.0,73.0,2019-10-12,10:50:00 PM,22:50:00,22,-0.2697967711570252,0.9629172873477991,1175463.0,1903198.0
